epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1081.89,1.95678,2.22677,1.59097,0.57702,0.23596,0.24276,0.13193,1.54396,1.67147,1.32288,0.00066,0.00066,0.00066
2,2219.51,1.68833,1.54363,1.40865,0.44271,0.23596,0.21474,0.11812,1.60974,1.67522,1.40078,0.00131353,0.00131353,0.00131353
3,3448.13,1.64266,1.45101,1.37353,0.5228,0.23596,0.20683,0.11799,1.63708,1.56672,1.3683,0.00195387,0.00195387,0.00195387
4,4712.85,1.62522,1.43008,1.36703,0.44164,0.17779,0.19062,0.10978,1.55742,1.60372,1.33009,0.0019406,0.0019406,0.0019406
5,6060.35,1.58685,1.3666,1.34596,0.5575,0.21348,0.25702,0.13375,1.56505,1.77135,1.32325,0.0019208,0.0019208,0.0019208
6,7293.02,1.55691,1.32639,1.32767,0.38366,0.21348,0.20743,0.11151,1.64232,1.69506,1.37742,0.001901,0.001901,0.001901
7,8636.05,1.49679,1.25712,1.29388,0.35681,0.21348,0.23357,0.1202,1.54938,1.47107,1.39394,0.0018812,0.0018812,0.0018812
8,9903.9,1.47161,1.21016,1.27686,0.4767,0.19101,0.17943,0.09475,1.74674,1.54672,1.4767,0.0018614,0.0018614,0.0018614
9,11121.2,1.47393,1.20921,1.27794,0.67892,0.16854,0.21829,0.11924,1.64758,1.59843,1.401,0.0018416,0.0018416,0.0018416
10,12445.8,1.45391,1.16824,1.26251,0.53168,0.21692,0.24735,0.12891,1.53702,1.4889,1.31939,0.0018218,0.0018218,0.0018218
11,14213.9,1.42039,1.1198,1.24552,0.6335,0.23596,0.25489,0.11833,1.59059,1.452,1.37583,0.001802,0.001802,0.001802
12,15958.3,1.40139,1.11141,1.2395,0.65846,0.24719,0.28156,0.1325,1.63162,1.36633,1.4367,0.0017822,0.0017822,0.0017822
13,17705.8,1.38345,1.06135,1.21468,0.50164,0.24719,0.24394,0.13407,1.60086,1.41732,1.3997,0.0017624,0.0017624,0.0017624
14,19471,1.37456,1.05898,1.21596,0.38039,0.24148,0.2487,0.13937,1.56983,1.44943,1.3488,0.0017426,0.0017426,0.0017426
15,21145.7,1.36175,1.04039,1.21108,0.42158,0.17978,0.19786,0.09112,1.69177,1.49961,1.4674,0.0017228,0.0017228,0.0017228
16,23089.5,1.33518,1.00494,1.18895,0.44748,0.21348,0.20162,0.11986,1.62477,1.67061,1.40443,0.001703,0.001703,0.001703
17,24790.5,1.33821,1.00147,1.19806,0.6023,0.21348,0.24003,0.12963,1.63874,1.29876,1.40524,0.0016832,0.0016832,0.0016832
18,26720.4,1.30034,0.95641,1.17174,0.58787,0.20225,0.24849,0.12187,1.68746,1.43352,1.41509,0.0016634,0.0016634,0.0016634
19,28543,1.29907,0.9604,1.17738,0.52522,0.22472,0.22516,0.13802,1.59693,1.469,1.32769,0.0016436,0.0016436,0.0016436
20,30220.5,1.28827,0.95272,1.17115,0.58657,0.23596,0.24116,0.12926,1.59022,1.48857,1.33426,0.0016238,0.0016238,0.0016238
21,31963.9,1.27928,0.94056,1.16702,0.50089,0.23596,0.23057,0.13807,1.59081,1.52112,1.3792,0.001604,0.001604,0.001604
22,33959.6,1.24711,0.90366,1.14969,0.52536,0.22388,0.2428,0.13352,1.70293,1.50907,1.47445,0.0015842,0.0015842,0.0015842
23,35772.4,1.23214,0.88687,1.13991,0.47526,0.25446,0.23061,0.12654,1.80024,1.55318,1.53357,0.0015644,0.0015644,0.0015644
24,37361.6,1.22729,0.87819,1.13526,0.56707,0.22472,0.24707,0.13239,1.63568,1.50389,1.46453,0.0015446,0.0015446,0.0015446
